Ticker,Date,c_open,c_high,c_low,n_close,n_adj_close,Adj Close,Normalized_MA_5,Normalized_MA_10,Normalized_MA_15,Normalized_MA_20,Normalized_MA_25,Normalized_MA_30,Class
GD,2014-01-03,0.02111462995808555,0.6649831257121264,-0.4222102685710438,-0.010556200527700454,-0.010559755314409891,87.776855,0.3039840058065346,-0.4686558888445158,-1.55373311867536,-2.3738732721740874,-2.6898961463132864,-2.8478019632852014,0
GD,2014-01-06,0.5187359783901835,0.8575037143500275,-0.4552191451960397,-0.29554465475079006,-0.2955471576191693,87.517433,0.4869756634658273,0.016934683173364107,-0.9393793196227129,-1.807649397120692,-2.308708163320994,-2.389024481556712,0
GD,2014-01-07,-0.5878700275483983,0.41990551291402056,-0.6193617337946211,0.8469225158471705,0.8469124088682944,88.258629,-0.3233184145654433,-0.6246038560150269,-1.421370745894257,-2.397648279807285,-2.977954348237166,-3.0631947613870114,1
GD,2014-01-08,0.4645301893525078,0.6123331861029202,-0.5489907036635322,-0.5668706578444205,-0.5668624197640693,87.758324,0.06967908821959856,0.10451441620513702,-0.5919239448252456,-1.620043302103169,-2.2770329570104386,-2.4201220691802083,-1
GD,2014-01-09,-0.22052503768165144,0.7770639259562007,-0.25202666432762033,0.5384311598561009,0.5384321149979998,88.230843,-0.36543479472365137,-0.27828012478582353,-0.8589793631840759,-1.9011945743281466,-2.594988874808779,-2.8184487972458094,0
GD,2014-01-10,0.5257623664723932,0.5678244073149319,-0.5993680462537898,-0.13651684963194022,-0.13653842115052273,88.110374,-0.1535045124198442,-0.11459762955947639,-0.6147721795695227,-1.483158101224269,-2.2254302541037663,-2.574116036173746,0
GD,2014-01-13,-0.12630564937783362,1.3366982141522321,-0.3262866997939873,-0.09463301986609718,-0.09461541951916175,88.027008,0.056832103165427306,-0.01894804830806507,-0.3557547550254725,-1.1204116468436554,-1.889489598465044,-2.3857181801900107,0
GD,2014-01-14,-0.5418893345340625,0.0,-1.000415808674604,0.9998915693107735,0.9998976677703331,88.907188,-0.7878334876590731,-0.9191360320607744,-1.1622952990782642,-1.802319009347142,-2.6452760152531285,-3.2027301699535826,1
GD,2014-01-15,-0.3766011246616241,1.1089089280849063,-0.6904446360683991,-0.38558045420571396,0.19913800445470198,89.084236,-0.6873339521034971,-1.0535360038334995,-1.152725457135495,-1.7254539287961168,-2.6049155543074964,-3.224157414337603,0
GD,2014-01-16,0.052405659278709216,0.4507337431711944,-0.230610058058478,-0.19875929276114146,-0.19874223313762762,88.907188,-0.3374183873636971,-0.7304023607180188,-0.8037359139061007,-1.2942368619284217,-2.18545416147905,-2.836219309211907,0
